date,value
3/21/2017,34.96
3/22/2017,35.36
3/23/2017,35.23
3/24/2017,35.16
3/27/2017,35.22
3/28/2017,35.95
3/29/2017,36.03
3/30/2017,35.98
3/31/2017,35.92
4/3/2017,35.93
4/4/2017,36.19
4/5/2017,36.01
4/6/2017,35.92
4/7/2017,35.84
4/10/2017,35.79
4/11/2017,35.41
4/12/2017,35.45
4/13/2017,35.26
4/17/2017,35.46
4/18/2017,35.30
4/19/2017,35.17
4/20/2017,35.61
4/21/2017,35.57
4/24/2017,35.91
4/25/2017,36.13
4/26/2017,35.92
4/27/2017,35.95
4/28/2017,35.91
5/1/2017,36.65
5/2/2017,36.88
5/3/2017,36.77
5/4/2017,36.63
5/5/2017,37.24
5/8/2017,38.25
5/9/2017,38.50
5/10/2017,38.32
5/11/2017,38.49
5/12/2017,39.03
5/15/2017,38.93
5/16/2017,38.87
5/17/2017,37.56
5/18/2017,38.14
5/19/2017,38.27
5/22/2017,38.50
5/23/2017,38.45
5/24/2017,38.34
5/25/2017,38.47
5/26/2017,38.40
5/30/2017,38.42
5/31/2017,38.19
6/1/2017,38.30
6/2/2017,38.86
6/5/2017,38.48
6/6/2017,38.61
6/7/2017,38.84
6/8/2017,38.75
6/9/2017,37.25
6/12/2017,36.36
6/13/2017,36.65
6/14/2017,36.29
6/15/2017,36.07
6/16/2017,35.57
6/19/2017,36.59
6/20/2017,36.25
6/21/2017,36.47
6/22/2017,36.41
6/23/2017,36.57
6/26/2017,36.46
6/27/2017,35.93
6/28/2017,36.46
6/29/2017,35.92
6/30/2017,36.01
7/3/2017,35.88
7/5/2017,36.02
7/6/2017,35.68
7/7/2017,36.05
7/10/2017,36.27
7/11/2017,36.38
7/12/2017,36.44
7/13/2017,36.94
7/14/2017,37.26
7/17/2017,37.39
7/18/2017,37.52
7/19/2017,37.76
7/20/2017,37.59
7/21/2017,37.57
7/24/2017,38.02
7/25/2017,38.19
7/26/2017,38.37
7/27/2017,37.64
7/28/2017,37.38
7/31/2017,37.18
8/1/2017,37.51
8/2/2017,39.29
8/3/2017,38.89
8/4/2017,39.10
8/7/2017,39.70
8/8/2017,40.02
8/9/2017,40.27
8/10/2017,38.83
8/11/2017,39.37
8/14/2017,39.96
8/15/2017,40.40
8/16/2017,40.24
8/17/2017,39.47
8/18/2017,39.38
8/21/2017,39.30
8/22/2017,39.95
8/23/2017,40.00
8/24/2017,39.82
8/25/2017,39.97
8/28/2017,40.37
8/29/2017,40.73
8/30/2017,40.84
8/31/2017,41.00
9/1/2017,41.01
9/5/2017,40.52
9/6/2017,40.48
9/7/2017,40.32
9/8/2017,39.66
9/11/2017,40.38
9/12/2017,40.22
9/13/2017,39.91
9/14/2017,39.57
9/15/2017,39.97
9/18/2017,39.67
9/19/2017,39.68
9/20/2017,39.02
9/21/2017,38.35
9/22/2017,37.97
9/25/2017,37.64
9/26/2017,38.29
9/27/2017,38.56
9/28/2017,38.32
9/29/2017,38.53
10/2/2017,38.45
10/3/2017,38.62
10/4/2017,38.37
10/5/2017,38.85
10/6/2017,38.83
10/9/2017,38.96
10/10/2017,38.98
10/11/2017,39.14
10/12/2017,39.00
10/13/2017,39.25
10/16/2017,39.97
10/17/2017,40.12
10/18/2017,39.94
10/19/2017,39.00
10/20/2017,39.06
10/23/2017,39.04
10/24/2017,39.28
10/25/2017,39.10
10/26/2017,39.35
10/27/2017,40.76
10/30/2017,41.68
10/31/2017,42.26
11/1/2017,41.72
11/2/2017,42.03
11/3/2017,43.13
11/6/2017,43.56
11/7/2017,43.70
11/8/2017,44.06
11/9/2017,43.97
11/10/2017,43.67
11/13/2017,43.49
11/14/2017,42.84
11/15/2017,42.27
11/16/2017,42.78
11/17/2017,42.54
11/20/2017,42.50
11/21/2017,43.29
11/22/2017,43.74
11/24/2017,43.74
11/27/2017,43.52
11/28/2017,43.27
11/29/2017,42.37
11/30/2017,42.96
12/1/2017,42.76
12/4/2017,42.45
12/5/2017,42.41
12/6/2017,42.25
12/7/2017,42.33
12/8/2017,42.34
12/11/2017,43.17
12/12/2017,42.93
12/13/2017,43.07
12/14/2017,43.06
12/15/2017,43.49
12/18/2017,44.11
12/19/2017,43.64
12/20/2017,43.59
12/21/2017,43.75
12/22/2017,43.75
12/26/2017,42.64
12/27/2017,42.65
12/28/2017,42.77
12/29/2017,42.31
1/2/2018,43.07
1/3/2018,43.06
1/4/2018,43.26
1/5/2018,43.75
1/8/2018,43.59
1/9/2018,43.58
1/10/2018,43.57
1/11/2018,43.82
1/12/2018,44.27
1/16/2018,44.05
1/17/2018,44.78
1/18/2018,44.82
1/19/2018,44.62
1/22/2018,44.25
1/23/2018,44.26
1/24/2018,43.56
1/25/2018,42.78
1/26/2018,42.88
1/29/2018,41.99
1/30/2018,41.74
1/31/2018,41.86
2/1/2018,41.95
2/2/2018,40.13
2/5/2018,39.12
2/6/2018,40.76
2/7/2018,39.89
2/8/2018,38.79
2/9/2018,39.10
2/12/2018,40.68
2/13/2018,41.09
2/14/2018,41.84
2/15/2018,43.25
2/16/2018,43.11
2/20/2018,42.96
2/21/2018,42.77
2/22/2018,43.13
2/23/2018,43.88
2/26/2018,44.74
2/27/2018,44.60
2/28/2018,44.53
3/1/2018,43.75
3/2/2018,44.05
3/5/2018,44.21
3/6/2018,44.17
3/7/2018,43.76
3/8/2018,44.24
3/9/2018,45.00
3/12/2018,45.43
3/13/2018,44.99
3/14/2018,44.61
3/15/2018,44.66
3/16/2018,44.51
3/19/2018,43.83
3/20/2018,43.81
3/21/2018,42.82
3/22/2018,42.21
3/23/2018,41.24
3/26/2018,43.19
3/27/2018,42.09
3/28/2018,41.62
3/29/2018,41.95
4/2/2018,41.67
4/3/2018,42.10
4/4/2018,42.90
4/5/2018,43.20
4/6/2018,42.10
4/9/2018,42.51
4/10/2018,43.31
4/11/2018,43.11
4/12/2018,43.54
4/13/2018,43.68
4/16/2018,43.96
4/17/2018,44.56
4/18/2018,44.46
4/19/2018,43.20
4/20/2018,41.43
4/23/2018,41.31
4/24/2018,40.74
4/25/2018,40.91
4/26/2018,41.06
4/27/2018,40.58
4/30/2018,41.32
5/1/2018,42.28
5/2/2018,44.14
5/3/2018,44.22
5/4/2018,45.96
5/7/2018,46.29
5/8/2018,46.51
5/9/2018,46.84
5/10/2018,47.51
5/11/2018,47.15
5/14/2018,47.04
5/15/2018,46.61
5/16/2018,47.05
5/17/2018,46.75
5/18/2018,46.58
5/21/2018,46.91
5/22/2018,46.79
5/23/2018,47.09
5/24/2018,47.04
5/25/2018,47.15
5/29/2018,46.98
5/30/2018,46.88
5/31/2018,46.72
6/1/2018,47.56
6/4/2018,47.96
6/5/2018,48.33
6/6/2018,48.50
6/7/2018,48.37
6/8/2018,47.93
6/11/2018,47.81
6/12/2018,48.07
6/13/2018,47.68
6/14/2018,47.70
6/15/2018,47.21
6/18/2018,47.19
6/19/2018,46.42
6/20/2018,46.63
6/21/2018,46.37
6/22/2018,46.23
6/25/2018,45.54
6/26/2018,46.11
6/27/2018,46.04
6/28/2018,46.38
6/29/2018,46.28
7/2/2018,46.80
7/3/2018,45.98
7/5/2018,46.35
7/6/2018,46.99
7/9/2018,47.65
7/10/2018,47.59
7/11/2018,46.97
7/12/2018,47.76
7/13/2018,47.83
7/16/2018,47.73
7/17/2018,47.86
7/18/2018,47.60
7/19/2018,47.97
7/20/2018,47.86
7/23/2018,47.90
7/24/2018,48.25
7/25/2018,48.71
7/26/2018,48.55
7/27/2018,47.75
7/30/2018,47.48
7/31/2018,47.57
8/1/2018,50.38
8/2/2018,51.85
8/3/2018,52.00
8/6/2018,52.27
8/7/2018,51.78
8/8/2018,51.81
8/9/2018,52.22
8/10/2018,51.88
8/13/2018,52.22
8/14/2018,52.44
8/15/2018,52.56
8/16/2018,53.33
8/17/2018,54.40
8/20/2018,53.87
8/21/2018,53.76
8/22/2018,53.76
8/23/2018,53.87
8/24/2018,54.04
8/27/2018,54.49
8/28/2018,54.93
8/29/2018,55.75
8/30/2018,56.26
8/31/2018,56.91
9/4/2018,57.09
9/5/2018,56.72
9/6/2018,55.78
9/7/2018,55.33
9/10/2018,54.58
9/11/2018,55.96
9/12/2018,55.27
9/13/2018,56.60
9/14/2018,55.96
9/17/2018,54.47
9/18/2018,54.56
9/19/2018,54.59
9/20/2018,55.01
9/21/2018,54.42
9/24/2018,55.20
9/25/2018,55.55
9/26/2018,55.11
9/27/2018,56.24
9/28/2018,56.44
10/1/2018,56.82
10/2/2018,57.32
10/3/2018,58.02
10/4/2018,57.00
10/5/2018,56.07
10/8/2018,55.94
10/9/2018,56.72
10/10/2018,54.09
10/11/2018,53.61
10/12/2018,55.53
10/15/2018,54.34
10/16/2018,55.54
10/17/2018,55.30
10/18/2018,54.01
10/19/2018,54.83
10/22/2018,55.16
10/23/2018,55.68
10/24/2018,53.77
10/25/2018,54.95
10/26/2018,54.08
10/29/2018,53.06
10/30/2018,53.33
10/31/2018,54.72
11/1/2018,55.56
11/2/2018,51.87
11/5/2018,50.40
11/6/2018,50.94
11/7/2018,52.49
11/8/2018,52.12
11/9/2018,51.12
11/12/2018,48.54
11/13/2018,48.06
11/14/2018,46.70
11/15/2018,47.85
11/16/2018,48.38
11/19/2018,46.47
11/20/2018,44.25
11/21/2018,44.20
11/23/2018,43.07
11/26/2018,43.66
11/27/2018,43.56
11/28/2018,45.24
11/29/2018,44.89
11/30/2018,44.65
12/3/2018,46.21
12/4/2018,44.17
12/6/2018,43.68
12/7/2018,42.12
12/10/2018,42.40
12/11/2018,42.16
12/12/2018,42.28
12/13/2018,42.74
12/14/2018,41.37
12/17/2018,40.99
12/18/2018,41.52
12/19/2018,40.22
12/20/2018,39.21
12/21/2018,37.68
12/24/2018,36.71
12/26/2018,39.29
12/27/2018,39.04
12/28/2018,39.06
12/31/2018,39.44
1/2/2019,39.48
1/3/2019,35.55
1/4/2019,37.07
1/7/2019,36.98
1/8/2019,37.69
1/9/2019,38.33
1/10/2019,38.45
1/11/2019,38.07
1/14/2019,37.50
1/15/2019,38.27
1/16/2019,38.74
1/17/2019,38.97
1/18/2019,39.21
1/22/2019,38.33
1/23/2019,38.48
1/24/2019,38.18
1/25/2019,39.44
1/28/2019,39.08
1/29/2019,38.67
1/30/2019,41.31
1/31/2019,41.61
2/1/2019,41.63
2/4/2019,42.81
2/5/2019,43.55
2/6/2019,43.56
2/7/2019,42.74
2/8/2019,42.60
2/11/2019,42.36
2/12/2019,42.72
2/13/2019,42.55
2/14/2019,42.70
2/15/2019,42.61
2/19/2019,42.73
2/20/2019,43.01
2/21/2019,42.77
2/22/2019,43.24
2/25/2019,43.56
2/26/2019,43.58
2/27/2019,43.72
2/28/2019,43.29
3/1/2019,43.74
3/4/2019,43.96
3/5/2019,43.88
3/6/2019,43.63
3/7/2019,43.13
3/8/2019,43.23
3/11/2019,44.73
3/12/2019,45.23
3/13/2019,45.43
3/14/2019,45.93
3/15/2019,46.53
3/18/2019,47.01
3/19/2019,46.63
3/20/2019,47.04
3/21/2019,48.77
3/22/2019,47.76
3/25/2019,47.19
3/26/2019,46.70
3/27/2019,47.12
3/28/2019,47.18
3/29/2019,47.49
4/1/2019,47.81
4/2/2019,48.51
4/3/2019,48.84
4/4/2019,48.92
4/5/2019,49.25
4/8/2019,50.03
4/9/2019,49.88
4/10/2019,50.16
4/11/2019,49.74
4/12/2019,49.72
4/15/2019,49.81
4/16/2019,49.81
4/17/2019,50.78
4/18/2019,50.97
4/22/2019,51.13
4/23/2019,51.87
4/24/2019,51.79
4/25/2019,51.32
4/26/2019,51.08
4/29/2019,51.15
4/30/2019,50.17
5/1/2019,52.63
5/2/2019,52.29
5/3/2019,52.94
5/6/2019,52.12
5/7/2019,50.72
5/8/2019,50.73
5/9/2019,50.18
5/10/2019,49.30
5/13/2019,46.43
5/14/2019,47.17
5/15/2019,47.73
5/16/2019,47.52
5/17/2019,47.25
5/20/2019,45.77
5/21/2019,46.65
5/22/2019,45.70
5/23/2019,44.92
5/24/2019,44.74
5/28/2019,44.56
5/29/2019,44.35
5/30/2019,44.58
5/31/2019,43.77
6/3/2019,43.33
6/4/2019,44.91
6/5/2019,45.64
6/6/2019,46.31
6/7/2019,47.54
6/10/2019,48.15
6/11/2019,48.70
6/12/2019,48.55
6/13/2019,48.54
6/14/2019,48.19
6/17/2019,48.47
6/18/2019,49.61
6/19/2019,49.47
6/20/2019,49.87
6/21/2019,49.70
6/24/2019,49.65
6/25/2019,48.89
6/26/2019,49.95
6/27/2019,49.94
6/28/2019,49.48
7/1/2019,50.39
7/2/2019,50.68
7/3/2019,51.10
7/5/2019,51.06
7/8/2019,50.01
7/9/2019,50.31
7/10/2019,50.81
7/11/2019,50.44
7/12/2019,50.83
7/15/2019,51.30
7/16/2019,51.13
7/17/2019,50.84
7/18/2019,51.42
7/19/2019,50.65
7/22/2019,51.81
7/23/2019,52.21
7/24/2019,52.17
7/25/2019,51.76
7/26/2019,51.94
7/29/2019,52.42
7/30/2019,52.20
7/31/2019,53.26
8/1/2019,52.11
8/2/2019,51.01
8/5/2019,48.34
8/6/2019,49.25
8/7/2019,49.76
8/8/2019,50.86
8/9/2019,50.25
8/12/2019,50.12
8/13/2019,52.24
8/14/2019,50.69
8/15/2019,50.44
8/16/2019,51.63
8/19/2019,52.59
8/20/2019,52.59
8/21/2019,53.16
8/22/2019,53.12
8/23/2019,50.66
8/26/2019,51.62
8/27/2019,51.04
8/28/2019,51.38
8/29/2019,52.25
8/30/2019,52.19
9/3/2019,51.43
9/4/2019,52.30
9/5/2019,53.32
9/6/2019,53.32
9/9/2019,53.54
9/10/2019,54.18
9/11/2019,55.90
9/12/2019,55.77
9/13/2019,54.69
9/16/2019,54.98
9/17/2019,55.18
9/18/2019,55.69
9/19/2019,55.24
9/20/2019,54.43
9/23/2019,54.68
9/24/2019,54.42
9/25/2019,55.26
9/26/2019,54.97
9/27/2019,54.71
9/30/2019,55.99
10/1/2019,56.15
10/2/2019,54.74
10/3/2019,55.21
10/4/2019,56.75
10/7/2019,56.77
10/8/2019,56.10
10/9/2019,56.76
10/10/2019,57.52
10/11/2019,59.05
10/14/2019,58.97
10/15/2019,58.83
10/16/2019,58.59
10/17/2019,58.82
10/18/2019,59.10
10/21/2019,60.13
10/22/2019,59.99
10/23/2019,60.80
10/24/2019,60.90
10/25/2019,61.65
10/28/2019,62.26
10/29/2019,60.82
10/30/2019,60.82
10/31/2019,62.19
11/1/2019,63.96
11/4/2019,64.38
11/5/2019,64.28
11/6/2019,64.31
11/7/2019,64.86
11/8/2019,65.04
11/11/2019,65.55
11/12/2019,65.49
11/13/2019,66.12
11/14/2019,65.66
11/15/2019,66.44
11/18/2019,66.78
11/19/2019,66.57
11/20/2019,65.80
11/21/2019,65.50
11/22/2019,65.45
11/25/2019,66.59
11/26/2019,66.07
11/27/2019,66.96
11/29/2019,66.81
12/2/2019,66.04
12/3/2019,64.86
12/4/2019,65.44
12/5/2019,66.40
12/6/2019,67.68
12/9/2019,66.73
12/10/2019,67.12
12/11/2019,67.69
12/12/2019,67.87
12/13/2019,68.79
12/16/2019,69.97
12/17/2019,70.10
12/18/2019,69.94
12/19/2019,70.01
12/20/2019,69.86
12/23/2019,71.00
12/24/2019,71.07
12/26/2019,72.48
12/27/2019,72.45
12/30/2019,72.88
12/31/2019,73.41
1/2/2020,75.09
1/3/2020,74.36
1/6/2020,74.95
1/7/2020,74.60
1/8/2020,75.80
1/9/2020,77.41
1/10/2020,77.58
1/13/2020,79.24
1/14/2020,78.17
1/15/2020,77.84
1/16/2020,78.81
1/17/2020,79.68
1/21/2020,79.14
1/22/2020,79.43
1/23/2020,79.81
1/24/2020,79.58
1/27/2020,77.24
1/28/2020,79.42
1/29/2020,81.09
1/30/2020,80.97
1/31/2020,77.38
2/3/2020,77.17
2/4/2020,79.71
2/5/2020,80.36
2/6/2020,81.30
2/7/2020,80.01
2/10/2020,80.39
2/11/2020,79.90
2/12/2020,81.80
2/13/2020,81.22
2/14/2020,81.24
2/18/2020,79.75
2/19/2020,80.91
2/20/2020,80.08
2/21/2020,78.26
2/24/2020,74.55
2/25/2020,72.02
2/26/2020,73.16
2/27/2020,68.38
2/28/2020,68.34
3/2/2020,74.70
3/3/2020,72.33
3/4/2020,75.69
3/5/2020,73.23
3/6/2020,72.26
3/9/2020,66.54
3/10/2020,71.34
3/11/2020,68.86
3/12/2020,62.06
3/13/2020,69.49
3/16/2020,60.55
3/17/2020,63.22
3/18/2020,61.67
3/19/2020,61.20
3/20/2020,57.31
3/23/2020,56.09
3/24/2020,61.72
3/25/2020,61.38
3/26/2020,64.61
3/27/2020,61.94
3/30/2020,63.70
3/31/2020,63.57
4/1/2020,60.23
4/2/2020,61.23
4/3/2020,60.35
4/6/2020,65.62
4/7/2020,64.86
4/8/2020,66.52
4/9/2020,67.00
4/13/2020,68.31
4/14/2020,71.76
4/15/2020,71.11
4/16/2020,71.67
4/17/2020,70.70
4/20/2020,69.23
4/21/2020,67.09
4/22/2020,69.03
4/23/2020,68.76
4/24/2020,70.74
4/27/2020,70.79
4/28/2020,69.65
4/29/2020,71.93
4/30/2020,73.45
5/1/2020,72.27
5/4/2020,73.29
5/5/2020,74.39
5/6/2020,75.16
5/7/2020,75.94
5/8/2020,77.53
5/11/2020,78.75
5/12/2020,77.85
5/13/2020,76.91
5/14/2020,77.39
5/15/2020,76.93
5/18/2020,78.74
5/19/2020,78.29
5/20/2020,79.81
5/21/2020,79.21
5/22/2020,79.72
5/26/2020,79.18
5/27/2020,79.53
5/28/2020,79.56
5/29/2020,79.49
6/1/2020,80.46
6/2/2020,80.84
6/3/2020,81.28
6/4/2020,80.58
6/5/2020,82.88
6/8/2020,83.37
6/9/2020,86.00
6/10/2020,88.21
6/11/2020,83.98
6/12/2020,84.70
6/15/2020,85.75
6/16/2020,88.02
6/17/2020,87.90
6/18/2020,87.93
6/19/2020,87.43
6/22/2020,89.72
6/23/2020,91.63
6/24/2020,90.02
6/25/2020,91.21
6/26/2020,88.41
6/29/2020,90.45
6/30/2020,91.20
7/1/2020,91.03
7/2/2020,91.03
7/6/2020,93.46
7/7/2020,93.17
7/8/2020,95.34
7/9/2020,95.68
7/10/2020,95.92
7/13/2020,95.48
7/14/2020,97.06
7/15/2020,97.73
7/16/2020,96.52
7/17/2020,96.33
7/20/2020,98.36
7/21/2020,97.00
7/22/2020,97.27
7/23/2020,92.85
7/24/2020,92.62
7/27/2020,94.81
7/28/2020,93.25
7/29/2020,95.04
7/30/2020,96.19
7/31/2020,106.26
8/3/2020,108.94
8/4/2020,109.67
8/5/2020,110.06
8/6/2020,113.90
8/7/2020,111.11
8/10/2020,112.73
8/11/2020,109.38
8/12/2020,113.01
8/13/2020,115.01
8/14/2020,114.91
8/17/2020,114.61
8/18/2020,115.56
8/19/2020,115.71
8/20/2020,118.28
8/21/2020,124.37
8/24/2020,125.86
8/25/2020,124.83
8/26/2020,126.52
8/27/2020,125.01
8/28/2020,124.81
8/31/2020,129.04
9/1/2020,134.18
9/2/2020,131.40
9/3/2020,120.88
9/4/2020,120.96
9/8/2020,112.82
9/9/2020,117.32
9/10/2020,113.49
9/11/2020,112.00
9/14/2020,115.36
9/15/2020,115.54
9/16/2020,112.13
9/17/2020,110.34
9/18/2020,106.84
9/21/2020,110.08
9/22/2020,111.81
9/23/2020,107.12
9/24/2020,108.22
9/25/2020,112.28
9/28/2020,114.96
9/29/2020,114.09
9/30/2020,115.81
10/1/2020,116.79
10/2/2020,113.02
10/5/2020,116.50
10/6/2020,113.16
10/7/2020,115.08
10/8/2020,114.97
10/9/2020,116.97
10/12/2020,124.40
10/13/2020,121.10
10/14/2020,121.19
10/15/2020,120.71
10/16/2020,119.02
10/19/2020,115.98
10/20/2020,117.51
10/21/2020,116.87
10/22/2020,115.75
10/23/2020,115.04
10/26/2020,115.05
10/27/2020,116.60
10/28/2020,111.20
10/29/2020,115.32
10/30/2020,108.86
11/2/2020,108.77
11/3/2020,110.44
11/4/2020,114.95
11/5/2020,119.03
11/6/2020,118.69
11/9/2020,116.32
11/10/2020,115.97
11/11/2020,119.49
11/12/2020,119.21
11/13/2020,119.26
11/16/2020,120.30
11/17/2020,119.39
11/18/2020,118.03
11/19/2020,118.64
11/20/2020,117.34
11/23/2020,113.85
11/24/2020,115.17
11/25/2020,116.03
11/27/2020,116.59
11/30/2020,119.05
12/1/2020,122.72
12/2/2020,123.08
12/3/2020,122.94
12/4/2020,122.25
12/7/2020,123.75
12/8/2020,124.38
12/9/2020,121.78
12/10/2020,123.24
12/11/2020,122.41
12/14/2020,121.78
12/15/2020,127.88
12/16/2020,127.81
12/17/2020,128.70
12/18/2020,126.66
12/21/2020,128.23
12/22/2020,131.88
12/23/2020,130.96
12/24/2020,131.97
12/28/2020,136.69
12/29/2020,134.87
12/30/2020,133.72
12/31/2020,132.69
1/4/2021,129.41
1/5/2021,131.01
1/6/2021,126.60
1/7/2021,130.92
1/8/2021,132.05
1/11/2021,128.98
1/12/2021,128.80
1/13/2021,130.89
1/14/2021,128.91
1/15/2021,127.14
1/19/2021,127.83
1/20/2021,132.03
1/21/2021,136.87
1/22/2021,139.07
1/25/2021,142.92
1/26/2021,143.16
1/27/2021,142.06
1/28/2021,137.09
1/29/2021,131.96
2/1/2021,134.14
2/2/2021,134.99
2/3/2021,133.94
2/4/2021,137.39
2/5/2021,136.76
2/8/2021,136.91
2/9/2021,136.01
2/10/2021,135.39
2/11/2021,135.13
2/12/2021,135.37
2/16/2021,133.19
2/17/2021,130.84
2/18/2021,129.71
2/19/2021,129.87
2/22/2021,126.00
2/23/2021,125.86
2/24/2021,125.35
2/25/2021,120.99
2/26/2021,121.26
3/1/2021,127.79
3/2/2021,125.12
3/3/2021,122.06
3/4/2021,120.13
3/5/2021,121.42
3/8/2021,116.36
3/9/2021,121.09
3/10/2021,119.98
3/11/2021,121.96
3/12/2021,121.03
3/15/2021,123.99
3/16/2021,125.57
3/17/2021,124.76
3/18/2021,120.53
3/19/2021,119.99
3/22/2021,123.39
3/23/2021,122.54
3/24/2021,120.09
3/25/2021,120.59
3/26/2021,121.21
3/29/2021,121.39
3/30/2021,119.90
3/31/2021,122.15
4/1/2021,123.00
4/5/2021,125.90
4/6/2021,126.21
4/7/2021,127.90
4/8/2021,130.36
4/9/2021,133.00
4/12/2021,131.24
4/13/2021,134.43
4/14/2021,132.03
4/15/2021,134.50
4/16/2021,134.16
4/19/2021,134.84
4/20/2021,133.11
4/21/2021,133.50
4/22/2021,131.94
4/23/2021,134.32
4/26/2021,134.72
4/27/2021,134.39
4/28/2021,133.58
4/29/2021,133.48
4/30/2021,131.46
5/3/2021,132.54
5/4/2021,127.85
5/5/2021,128.10
5/6/2021,129.74
5/7/2021,130.21
5/10/2021,126.85
5/11/2021,125.91
5/12/2021,122.77
5/13/2021,124.97
5/14/2021,127.45
5/17/2021,126.27
5/18/2021,124.85
5/19/2021,124.69
5/20/2021,127.31
5/21/2021,125.43
5/24/2021,127.10
5/25/2021,126.90
5/26/2021,126.85
5/27/2021,125.28
5/28/2021,124.61
6/1/2021,124.28
6/2/2021,125.06
6/3/2021,123.54
6/4/2021,125.89
6/7/2021,125.90
6/8/2021,126.74
6/9/2021,127.13
6/10/2021,126.11
6/11/2021,127.35
6/14/2021,130.48
6/15/2021,129.64
